id,name,kota_id/id,code
wilayah_kecamatan_71.06.03,Airmadidi,wilayah_kota_71.06,03
wilayah_kecamatan_13.01.13,Airpura,wilayah_kota_13.01,13
wilayah_kecamatan_91.03.16,Airu,wilayah_kota_91.03,16
wilayah_kecamatan_92.10.06,Aitinyo,wilayah_kota_92.1,06
wilayah_kecamatan_92.10.05,Aitinyo Barat,wilayah_kota_92.1,05
wilayah_kecamatan_92.10.23,Aitinyo Raya,wilayah_kota_92.1,23
wilayah_kecamatan_92.10.22,Aitinyo Tengah,wilayah_kota_92.1,22
wilayah_kecamatan_92.10.07,Aitinyo Utara,wilayah_kota_92.1,07
wilayah_kecamatan_73.08.18,Ajangale,wilayah_kota_73.08,18
wilayah_kecamatan_33.02.14,Ajibarang,wilayah_kota_33.02,14
wilayah_kecamatan_12.12.08,Ajibata,wilayah_kota_12.12,08
wilayah_kecamatan_35.09.17,Ajung,wilayah_kota_35.09,17
wilayah_kecamatan_13.07.13,Akabiluru,wilayah_kota_13.07,13
wilayah_kecamatan_93.04.04,Akat,wilayah_kota_93.04,04
wilayah_kecamatan_11.09.08,Alafan,wilayah_kota_11.09,08
wilayah_kecamatan_53.71.01,Alak,wilayah_kota_53.71,01
wilayah_kecamatan_63.04.05,Alalak,wilayah_kota_63.04,05
wilayah_kecamatan_15.71.09,Alam Barajo,wilayah_kota_15.71,09
wilayah_kecamatan_94.04.18,Alama,wilayah_kota_94.04,18
wilayah_kecamatan_95.08.15,Alama,wilayah_kota_95.08,15
wilayah_kecamatan_16.71.15,Alang-alang Lebar,wilayah_kota_16.71,15
wilayah_kecamatan_52.04.05,Alas,wilayah_kota_52.04,05
wilayah_kecamatan_52.04.17,Alas Barat,wilayah_kota_52.04,17
wilayah_kecamatan_12.24.07,Alasa,wilayah_kota_12.24,07
wilayah_kecamatan_12.24.06,Alasa Talumuzoi,wilayah_kota_12.24,06
wilayah_kecamatan_95.02.11,Alemsom,wilayah_kota_95.02,11
wilayah_kecamatan_33.05.11,Alian,wilayah_kota_33.05,11
wilayah_kecamatan_73.16.05,Alla,wilayah_kota_73.16,05
wilayah_kecamatan_76.04.15,Allu,wilayah_kota_76.04,15
wilayah_kecamatan_53.07.05,Alok,wilayah_kota_53.07,05
wilayah_kecamatan_53.07.14,Alok Barat,wilayah_kota_53.07,14
wilayah_kecamatan_53.07.15,Alok Timur,wilayah_kota_53.07,15
wilayah_kecamatan_53.05.03,Alor Barat Daya,wilayah_kota_53.05,03
wilayah_kecamatan_53.05.02,Alor Barat Laut,wilayah_kota_53.05,02
wilayah_kecamatan_53.05.04,Alor Selatan,wilayah_kota_53.05,04
wilayah_kecamatan_53.05.07,Alor Tengah Utara,wilayah_kota_53.05,07
wilayah_kecamatan_53.05.05,Alor Timur,wilayah_kota_53.05,05
wilayah_kecamatan_53.05.08,Alor Timur Laut,wilayah_kota_53.05,08
wilayah_kecamatan_63.03.01,Aluh Aluh,wilayah_kota_63.03,01
wilayah_kecamatan_53.01.25,Amabi Oefeto,wilayah_kota_53.01,25
wilayah_kecamatan_53.01.20,Amabi Oefeto Timur,wilayah_kota_53.01,20
wilayah_kecamatan_81.01.01,Amahai,wilayah_kota_81.01,01
wilayah_kecamatan_81.06.05,Amalatu,wilayah_kota_81.06,05
wilayah_kecamatan_73.08.24,Amali,wilayah_kota_73.08,24
wilayah_kecamatan_53.02.08,Amanatun Selatan,wilayah_kota_53.02,08
wilayah_kecamatan_53.02.09,Amanatun Utara,wilayah_kota_53.02,09
wilayah_kecamatan_12.14.07,Amandraya,wilayah_kota_12.14,07
wilayah_kecamatan_53.02.07,Amanuban Barat,wilayah_kota_53.02,07
wilayah_kecamatan_53.02.06,Amanuban Selatan,wilayah_kota_53.02,06
wilayah_kecamatan_53.02.05,Amanuban Tengah,wilayah_kota_53.02,05
wilayah_kecamatan_53.02.04,Amanuban Timur,wilayah_kota_53.02,04
wilayah_kecamatan_94.04.17,Amar,wilayah_kota_94.04,17
wilayah_kecamatan_53.01.09,Amarasi,wilayah_kota_53.01,09
wilayah_kecamatan_53.01.17,Amarasi Barat,wilayah_kota_53.01,17
wilayah_kecamatan_53.01.18,Amarasi Selatan,wilayah_kota_53.01,18
wilayah_kecamatan_53.01.19,Amarasi Timur,wilayah_kota_53.01,19
wilayah_kecamatan_33.05.07,Ambal,wilayah_kota_33.05,07
wilayah_kecamatan_61.05.15,Ambalau,wilayah_kota_61.05,15
wilayah_kecamatan_81.09.03,Ambalau,wilayah_kota_81.09,03
wilayah_kecamatan_52.06.10,Ambalawi,wilayah_kota_52.06,10
wilayah_kecamatan_18.10.03,Ambarawa,wilayah_kota_18.1,03
wilayah_kecamatan_33.22.10,Ambarawa,wilayah_kota_33.22,10
wilayah_kecamatan_93.02.11,Ambatkwi,wilayah_kota_93.02,11
wilayah_kecamatan_92.09.10,Amberbaken,wilayah_kota_92.09,10
wilayah_kecamatan_92.09.27,Amberbaken Barat,wilayah_kota_92.09,27
wilayah_kecamatan_35.09.12,Ambulu,wilayah_kota_35.09,12
wilayah_kecamatan_35.29.12,Ambunten,wilayah_kota_35.29,12
wilayah_kecamatan_17.07.10,Amen,wilayah_kota_17.07,10
wilayah_kecamatan_53.01.21,Amfoang Barat Daya,wilayah_kota_53.01,21
wilayah_kecamatan_53.01.22,Amfoang Barat Laut,wilayah_kota_53.01,22
wilayah_kecamatan_53.01.12,Amfoang Selatan,wilayah_kota_53.01,12
wilayah_kecamatan_53.01.30,Amfoang Tengah,wilayah_kota_53.01,30
wilayah_kecamatan_53.01.26,Amfoang Timur,wilayah_kota_53.01,26
wilayah_kecamatan_53.01.13,Amfoang Utara,wilayah_kota_53.01,13
wilayah_kecamatan_74.02.28,Amonggedo,wilayah_kota_74.02,28
wilayah_kecamatan_72.09.05,Ampana Kota,wilayah_kota_72.09,05
wilayah_kecamatan_72.09.04,Ampana Tete,wilayah_kota_72.09,04
wilayah_kecamatan_13.06.07,Ampek Angkek,wilayah_kota_13.06,07
wilayah_kecamatan_13.06.13,Ampek Nagari,wilayah_kota_13.06,13
wilayah_kecamatan_33.09.02,Ampel,wilayah_kota_33.09,02
wilayah_kecamatan_33.27.11,Ampelgading,wilayah_kota_33.27,11
